like1,parlogA,parlogK,parw,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,chain
-43.107395,0.059629343,-2.4167995,2.4566827,0.0,-0.35946417,-0.15660244,-0.015873916,0.015891328,0.009234946,0.0017089106,-0.0006004406,-0.0005104632,-0.00013494048,0.0,-0.4220486,0.08559598,0.044105496,-0.021410884,-0.0020809716,0.003540229,-0.0004149329,-0.00043143032,0.00014792767,0.0,-0.29021463,0.16583988,-0.052501757,0.0058493554,0.0043035736,-0.0033111027,0.0012653389,-0.00024084937,-4.664766e-05,0.0,-0.11295288,0.08329179,-0.044969667,0.021030525,-0.00895879,0.0035434472,-0.0013082305,0.00044864125,-0.00014030458,0.0,0.060156707,-0.04547874,0.025621176,-0.012746402,0.0059049833,-0.0026078646,0.0011115818,-0.00046056305,0.00018630191,4.0
-64.93696,0.19864702,-1.288097,2.158892,0.0,-0.30107158,-0.45651624,-0.50823087,-0.49165276,-0.43491212,-0.35900706,-0.27858642,-0.20303032,-0.13760982,0.0,-1.2310611,-0.15571022,0.7326146,0.18781996,-0.4239492,-0.16840103,0.23777801,0.13298622,-0.12848699,0.0,-1.0708249,0.83430237,0.004365422,-0.5132488,0.39721528,0.004170848,-0.24599044,0.18910754,0.0029886763,0.0,-0.68179613,0.8888398,-0.7421071,0.4242898,-0.09962901,-0.12940253,0.22958264,-0.22022213,0.14679839,0.0,-0.23648706,0.3628987,-0.41236356,0.41101837,-0.3787258,0.32999364,-0.27494645,0.22025487,-0.1699682,5.0
-44.803345,-0.10522315,-1.5632868,2.3869812,0.0,-0.19142291,-0.25155136,-0.23653771,-0.18727227,-0.12990679,-0.078721836,-0.039637625,-0.0134192165,0.0018361077,0.0,-0.55000335,0.011215964,0.2699395,-0.011014167,-0.13237292,0.00810971,0.06485778,-0.0053062015,-0.031750713,0.0,-0.44025886,0.36996078,-0.09462707,-0.10221162,0.13237298,-0.061028827,-0.013739109,0.041523416,-0.02814437,0.0,-0.23533565,0.29816166,-0.26216027,0.1856869,-0.106482275,0.043697525,-0.0030578002,-0.017590625,0.023788707,0.0,-0.017183904,0.024075441,-0.025289865,0.023606123,-0.020650584,0.01733681,-0.014145858,0.011302951,-0.00888734,0.0
-40.061596,-0.45711124,-2.7879484,1.8038056,0.0,-0.093912385,-0.015925042,0.0047728084,0.0020766093,-2.7668391e-05,-0.00016994229,-2.6615919e-05,9.010156e-06,3.6458991e-06,0.0,-0.09477718,0.01449746,0.0053245057,-0.001968121,-0.00012265763,0.00017537942,-1.7065935e-05,-1.1345712e-05,3.093538e-06,0.0,-0.07457219,0.027474094,-0.0041878466,-0.00064340956,0.00057030324,-0.00015891207,1.3163772e-05,7.795922e-06,-3.9197294e-06,0.0,-0.04663506,0.023172826,-0.007803428,0.0020334753,-0.00038945404,3.1700594e-05,1.5239675e-05,-1.009519e-05,3.8035419e-06,0.0,-0.016880902,0.009382996,-0.0038720656,0.0014055585,-0.00047313108,0.00015113261,-4.6354427e-05,1.3738725e-05,-3.947716e-06,1.0
-39.8503,-0.37070486,-2.926421,2.6689227,0.0,-0.06810045,0.005205549,0.0014428132,-0.000250991,-1.9812958e-05,8.29865e-06,-9.880825e-08,-2.1675557e-07,1.9239375e-08,0.0,-0.04546797,0.011369432,-0.0016139918,9.627445e-05,1.9551617e-05,-7.4912045e-06,1.3447327e-06,-1.3377182e-07,-2.8973248e-09,0.0,-0.014559583,0.004682738,-0.0011125511,0.00023125307,-4.4305256e-05,7.999058e-06,-1.3751545e-06,2.2607463e-07,-3.5541692e-08,0.0,0.014933934,-0.004797483,0.0011375204,-0.00023575153,4.4987875e-05,-8.079976e-06,1.3796687e-06,-2.2481679e-07,3.4929972e-08,0.0,0.039036892,-0.010655839,0.0018535596,-0.00021794118,9.3902645e-06,3.3275967e-06,-1.162143e-06,2.2728506e-07,-3.062949e-08,2.0
-39.934547,-0.45315948,-2.9931958,1.5795459,0.0,-0.07840614,-0.0024788205,0.0038260287,0.00024439843,-0.00018279837,-1.7949522e-05,8.535348e-06,1.1636798e-06,-3.882455e-07,0.0,-0.07281869,0.012237025,0.0015697519,-0.00087316154,6.856388e-05,3.195888e-05,-8.784903e-06,-1.1517475e-07,4.5681736e-07,0.0,-0.057251003,0.017507944,-0.0025031762,-0.00010634752,0.00015717302,-4.2769327e-05,5.2525415e-06,5.235065e-07,-4.2165487e-07,0.0,-0.037549753,0.014722765,-0.003902735,0.0007970605,-0.00011817215,6.6424655e-06,3.2802043e-06,-1.6169005e-06,4.7062085e-07,0.0,-0.016731342,0.007296159,-0.0023485178,0.000660808,-0.00017121408,4.1756273e-05,-9.6830045e-06,2.1431983e-06,-4.5241495e-07,3.0
-46.86769,0.13253272,-2.0893214,2.4566827,0.0,-0.43006542,-0.3507347,-0.17132269,-0.0461659,0.008048223,0.01887783,0.013248821,0.0057694823,0.0011712685,0.0,-0.6948413,0.09315832,0.17285071,-0.04802319,-0.039667316,0.018127859,0.008150352,-0.005928117,-0.0013792178,0.0,-0.5164557,0.3605742,-0.113983914,-0.016598614,0.0419925,-0.024890447,0.0061767823,0.00232678,-0.0032720717,0.0,-0.23868385,0.23180303,-0.16145453,0.094969414,-0.049165566,0.022416262,-0.0086557185,0.0024269219,-4.814926e-05,0.0,0.043453522,-0.044798233,0.034593847,-0.023714995,0.015221384,-0.009366734,0.0055964747,-0.0032711988,0.0018796368,4.0
-81.74334,0.34027973,-1.2215121,1.9466496,0.0,-0.37881088,-0.59584314,-0.6915724,-0.701409,-0.65480363,-0.575118,-0.48000023,-0.38206026,-0.28968853,0.0,-1.7406887,-0.44350037,1.0157871,0.5464034,-0.51949227,-0.48668468,0.2128754,0.3698377,-0.04381439,0.0,-1.613817,1.0460374,0.36849532,-0.91717356,0.35553178,0.36431226,-0.4666901,0.0662518,0.25969166,0.0,-1.1561915,1.4056869,-0.9592657,0.25472078,0.31236774,-0.5449526,0.4599872,-0.20586285,-0.048001688,0.0,-0.5924743,0.8987072,-0.97902143,0.9022649,-0.7337538,0.5279185,-0.32496715,0.15059409,-0.017700437,5.0
-39.884663,-0.38157517,-2.844873,2.882547,0.0,-0.07455577,0.003699227,0.0022644587,-0.00023381779,-6.2751096e-05,1.079081e-05,1.5249954e-06,-4.2997664e-07,-2.8738377e-08,0.0,-0.05037169,0.013563944,-0.0019985298,9.2792754e-05,4.0633797e-05,-1.3988558e-05,2.4326075e-06,-1.9573798e-07,-2.7165733e-08,0.0,-0.01457849,0.005183273,-0.0013641962,0.00031483945,-6.714609e-05,1.3535686e-05,-2.6078023e-06,4.827468e-07,-8.6011084e-08,0.0,0.019290669,-0.006757524,0.0017337616,-0.00038545686,7.809837e-05,-1.4701576e-05,2.5856418e-06,-4.2303148e-07,6.3289676e-08,0.0,0.04611319,-0.013207748,0.002268861,-0.00021617753,-1.2579356e-05,1.07010665e-05,-2.6519642e-06,4.082117e-07,-2.9844095e-08,0.0
-41.37293,-0.27561995,-2.278535,1.8038056,0.0,-0.16971567,-0.12797563,-0.054981623,-0.0101512,0.005796198,0.0068540825,0.0037503901,0.0011512204,-4.941406e-05,0.0,-0.26181945,-0.014088043,0.06329393,0.0068522585,-0.01511563,-0.002489694,0.0035639484,0.0008008529,-0.00082879816,0.0,-0.23554945,0.10236612,0.013138513,-0.03075282,0.010150468,0.0031121895,-0.0038357375,0.0009055802,0.0005448306,0.0,-0.17114627,0.12826432,-0.05425723,0.00928387,0.0063158553,-0.007004594,0.0037044196,-0.0010626338,-0.00010987262,0.0,-0.09353557,0.086440384,-0.05700069,0.031529944,-0.015193472,0.0063274214,-0.0021304935,0.0004209322,0.00013220558,1.0
-40.051563,-0.44409195,-2.8710814,1.6207902,0.0,-0.09306956,-0.012335164,0.0050055557,0.0015435233,-0.00015256749,-0.00013034971,-6.390623e-06,8.453329e-06,1.5763438e-06,0.0,-0.09276547,0.012891849,0.0048271134,-0.0015906566,-0.0001233523,0.00013063436,-9.353515e-06,-8.020752e-06,1.7820279e-06,0.0,-0.075794585,0.024881465,-0.0027600927,-0.0008691987,0.00048226607,-9.62994e-05,-2.7965273e-06,7.788897e-06,-2.3573705e-06,0.0,-0.051971376,0.023351263,-0.006783852,0.0013819634,-0.00013690893,-3.708716e-05,2.6431953e-05,-9.230011e-06,2.2612433e-06,0.0,-0.025952352,0.01334896,-0.0050145513,0.0016268702,-0.00047902044,0.00013031534,-3.28519e-05,7.5999687e-06,-1.5652006e-06,2.0
-72.64018,0.19351527,-1.2219821,1.5795459,0.0,-0.24913795,-0.40213722,-0.4804788,-0.50338095,-0.4873261,-0.44591144,-0.3899294,-0.32759747,-0.26487526,0.0,-1.2275683,-0.5948232,0.54259545,0.6654938,-0.044761434,-0.47209617,-0.19846155,0.22334982,0.24254404,0.0,-1.2543339,0.44489363,0.69113725,-0.54624057,-0.27401894,0.46688664,0.01985852,-0.32303286,0.1011347,0.0,-1.049338,0.9958275,-0.23485276,-0.4511005,0.58704543,-0.25180408,-0.1583495,0.3206958,-0.19717097,0.0,-0.74680483,0.9997584,-0.8329528,0.4384485,-0.02321401,-0.26566544,0.37136143,-0.31734428,0.1734956,3.0
-40.787323,-0.21606696,-2.499946,2.4566827,0.0,-0.18376206,-0.062231656,0.000978005,0.0077995197,0.0025239657,-8.1257356e-05,-0.00033041488,-0.000102144586,5.0609083e-06,0.0,-0.19985156,0.043743588,0.014409229,-0.008403491,0.00011013248,0.0009843828,-0.00022867891,-6.808077e-05,4.2344913e-05,0.0,-0.1331884,0.07149009,-0.022389239,0.003438224,0.00084139634,-0.00086424255,0.00036291548,-9.1081914e-05,5.336174e-06,0.0,-0.047440518,0.032024406,-0.015924606,0.0069066053,-0.0027511732,0.0010283113,-0.00036399107,0.00012230387,-3.887847e-05,0.0,0.03513118,-0.023999512,0.012178992,-0.005439815,0.0022545748,-0.0008873672,0.00033562825,-0.00012278964,4.3604334e-05,4.0
-69.31721,0.26820123,-1.1439722,2.8550682,0.0,-0.34661108,-0.529758,-0.5951493,-0.5817373,-0.52076566,-0.43587813,-0.343874,-0.25579527,-0.17812072,0.0,-1.4454521,0.30799896,0.8290092,-0.36727715,-0.43484122,0.3199765,0.20095654,-0.24086413,-0.07305498,0.0,-0.98370606,1.1430146,-0.7192744,0.12830947,0.29609382,-0.42346036,0.30877635,-0.096688226,-0.07876526,0.0,-0.29718423,0.4577987,-0.5212808,0.5196625,-0.47787842,0.41451356,-0.34276444,0.27145678,-0.20601855,0.0,0.35570267,-0.5427885,0.6081181,-0.59201497,0.5270075,-0.43777546,0.34184605,-0.25069016,0.17096366,5.0
-63.05971,0.24290735,-1.3067882,2.8746111,0.0,-0.37461504,-0.5369867,-0.5601254,-0.5024403,-0.40680546,-0.30199596,-0.20526941,-0.12526283,-0.06470053,0.0,-1.2940766,0.28806454,0.65995926,-0.30809113,-0.3006895,0.23932244,0.114972994,-0.15950291,-0.028825859,0.0,-0.869107,0.97207063,-0.6009352,0.12821938,0.19283563,-0.2874244,0.21357715,-0.07805531,-0.03220165,0.0,-0.2479716,0.36425537,-0.39632007,0.3783562,-0.33402693,0.27896136,-0.22287722,0.17130417,-0.12692757,0.0,0.33863795,-0.48936117,0.517689,-0.47429,0.3957243,-0.30647328,0.22145829,-0.14854342,0.0907441,0.0
-40.18261,-0.45711124,-2.4168081,2.6397114,0.0,-0.10810715,-0.0431329,-0.0025368016,0.004841931,0.0022761468,0.00025098838,-0.00020878248,-0.00011736521,-1.8490393e-05,0.0,-0.12139012,0.029511904,0.009300454,-0.0062664975,0.00026121348,0.0007869946,-0.00022678348,-5.167752e-05,4.3343087e-05,0.0,-0.076410614,0.04528263,-0.016464913,0.0036116373,9.430982e-05,-0.0005460677,0.00031081197,-0.00011008084,2.3052417e-05,0.0,-0.019925427,0.014503907,-0.007853219,0.003747938,-0.0016623073,0.0007013327,-0.00028489556,0.000112192116,-4.2999192e-05,0.0,0.03278729,-0.0233595,0.012192667,-0.005516347,0.0022753442,-0.00087239454,0.000312729,-0.00010440277,3.193825e-05,1.0
-39.855263,-0.44409195,-2.8710814,2.5957608,0.0,-0.067330465,0.002524144,0.0022885231,-0.00017513582,-7.443623e-05,8.989434e-06,2.297654e-06,-4.0431595e-07,-6.616772e-08,0.0,-0.049505822,0.012698894,-0.0015051833,-6.337589e-05,6.9532456e-05,-1.559281e-05,1.5386714e-06,1.5721538e-07,-9.478883e-08,0.0,-0.021046542,0.007526396,-0.0019465551,0.00042970674,-8.476826e-05,1.5104348e-05,-2.4010665e-06,3.2402295e-07,-3.0887623e-08,0.0,0.0074833436,-0.0027984881,0.00078165723,-0.0001932583,4.460468e-05,-9.840123e-06,2.1010594e-06,-4.3742745e-07,8.9214716e-08,0.0,0.03172634,-0.010544231,0.002381421,-0.00041825257,5.471602e-05,-3.3808592e-06,-8.130376e-07,3.898775e-07,-1.0079824e-07,2.0
-47.939022,0.050310917,-1.9101038,2.0467253,0.0,-0.323916,-0.34982556,-0.25639847,-0.14578694,-0.06134579,-0.011609363,0.010455449,0.01564315,0.012975545,0.0,-0.68624705,-0.049008254,0.25371695,0.036488283,-0.09249156,-0.020281693,0.03321897,0.009974248,-0.011738717,0.0,-0.5995778,0.3590854,0.009676582,-0.1403865,0.080450125,0.004437864,-0.03281188,0.017987553,0.0015257476,0.0,-0.39691657,0.39680156,-0.2479156,0.099115886,-0.0061642486,-0.03098783,0.033289313,-0.02166491,0.00918124,0.0,-0.16243358,0.19325873,-0.16905078,0.12869507,-0.089754574,0.058550306,-0.036019925,0.020909822,-0.011377024,3.0
-43.65369,-0.13347396,-1.6474767,2.4566827,0.0,-0.1912534,-0.23707214,-0.20746551,-0.15006657,-0.09229183,-0.046606965,-0.016078126,0.0011255664,0.008658805,0.0,-0.49376595,0.03062338,0.22116847,-0.027551545,-0.09820813,0.018537782,0.043217592,-0.011055136,-0.018838692,0.0,-0.3839943,0.32503542,-0.10165271,-0.060795806,0.09738461,-0.05496646,0.002531584,0.022689216,-0.020349177,0.0,-0.1915266,0.23735103,-0.20761374,0.15005952,-0.09216931,0.046429515,-0.015899029,-0.0012723663,0.008759466,0.0,0.009017783,-0.012120355,0.012216419,-0.010943891,0.009190151,-0.007407923,0.0058048037,-0.004455284,0.0033657008,4.0
-64.93696,0.19864702,-1.288097,2.158892,0.0,-0.30107158,-0.45651624,-0.50823087,-0.49165276,-0.43491212,-0.35900706,-0.27858642,-0.20303032,-0.13760982,0.0,-1.2310611,-0.15571022,0.7326146,0.18781996,-0.4239492,-0.16840103,0.23777801,0.13298622,-0.12848699,0.0,-1.0708249,0.83430237,0.004365422,-0.5132488,0.39721528,0.004170848,-0.24599044,0.18910754,0.0029886763,0.0,-0.68179613,0.8888398,-0.7421071,0.4242898,-0.09962901,-0.12940253,0.22958264,-0.22022213,0.14679839,0.0,-0.23648706,0.3628987,-0.41236356,0.41101837,-0.3787258,0.32999364,-0.27494645,0.22025487,-0.1699682,5.0
-40.362835,-0.3439586,-2.4076157,3.0603805,0.0,-0.1366587,-0.045793273,0.00093151623,0.0057662693,0.0018212856,-7.648236e-05,-0.00024254959,-7.2167204e-05,4.705762e-06,0.0,-0.13888912,0.043987293,0.0026110115,-0.0060659554,0.0016101567,0.00021252522,-0.00025908326,5.67413e-05,1.2887222e-05,0.0,-0.06778451,0.042158872,-0.018147543,0.0062656864,-0.0017355408,0.00033316383,-5.04239e-07,-3.9367264e-05,2.4544699e-05,0.0,0.010900648,-0.0075056013,0.003869652,-0.0017704936,0.0007581789,-0.00031116983,0.00012395332,-4.8286274e-05,1.8484101e-05,0.0,0.07704121,-0.04626893,0.01861205,-0.005667131,0.0011867754,-3.777276e-05,-0.000118663425,7.5765e-05,-3.1369273e-05,0.0
-40.811306,-0.2132524,-2.4168081,2.8052065,0.0,-0.1873529,-0.06897862,-0.0014887031,0.008254034,0.0032288965,0.00013552807,-0.00036213096,-0.00015062181,-9.244812e-06,0.0,-0.20177189,0.05548926,0.010487359,-0.009964931,0.0014021967,0.00088597444,-0.00042258148,3.1577617e-06,5.3055828e-05,0.0,-0.1159306,0.07022093,-0.02774036,0.007842094,-0.0012102186,-0.00026765623,0.0003165555,-0.00015758775,5.505868e-05,0.0,-0.013850479,0.009875481,-0.005273867,0.0025001233,-0.001109623,0.00047213578,-0.00019504048,7.881741e-05,-3.1308842e-05,0.0,0.077577785,-0.051817797,0.024712062,-0.009894032,0.0034552568,-0.0010453811,0.00025734445,-3.8494607e-05,-7.126553e-06,1.0
-41.68348,-0.23958589,-2.1325061,2.009188,0.0,-0.18059504,-0.15597501,-0.08327982,-0.027506473,-3.9379906e-05,0.0077995416,0.0067474665,0.003606376,0.0011931217,0.0,-0.30731604,-0.006707028,0.08737398,0.0038169867,-0.024799883,-0.0016282832,0.007027208,0.00061708334,-0.001987807,0.0,-0.26523143,0.14307508,-0.0016445844,-0.039859127,0.021969764,-0.00049979886,-0.0059871473,0.0033720136,-0.000113905466,0.0,-0.17544156,0.15375456,-0.08478448,0.030516272,-0.0025983169,-0.0064135827,0.0063607483,-0.0037479517,0.0014731792,0.0,-0.07245297,0.07515111,-0.057315875,0.038048066,-0.023142014,0.013168131,-0.007067908,0.0035809712,-0.0017014603,2.0
-43.61978,-0.45315948,-1.1072739,1.5795459,0.0,-0.05052889,-0.083927356,-0.103511326,-0.11231727,-0.11303347,-0.1079683,-0.09904645,-0.08782518,-0.07552402,0.0,-0.28339309,-0.14226395,0.1298743,0.16624576,-0.008792612,-0.12249651,-0.055248216,0.05927325,0.068997525,0.0,-0.29004237,0.10420641,0.16857474,-0.13458224,-0.07138415,0.12123923,0.007144577,-0.08868185,0.026786894,0.0,-0.24285506,0.2354265,-0.055727787,-0.11319779,0.1493181,-0.0643475,-0.043679856,0.08804911,-0.05433048,0.0,-0.17301507,0.23698103,-0.20170529,0.10795329,-0.0045959223,-0.07038298,0.099668935,-0.08652558,0.04772144,3.0
-68.39204,0.30512774,-1.6474767,1.8844961,0.0,-0.48611993,-0.6453783,-0.6144265,-0.49392638,-0.349382,-0.21756606,-0.114637196,-0.043712653,-0.00087396643,0.0,-1.4086308,-0.3063537,0.63573307,0.29101285,-0.25369352,-0.20027652,0.08293776,0.1178978,-0.015712937,0.0,-1.3122478,0.72428864,0.25453454,-0.5016279,0.14995714,0.16734946,-0.16713808,0.008808645,0.078475125,0.0,-0.9597726,1.0022634,-0.5680815,0.09349121,0.18562187,-0.2404555,0.15854764,-0.045672897,-0.031358793,0.0,-0.5209662,0.6848506,-0.6405295,0.5005513,-0.3386381,0.19558538,-0.088263266,0.018507762,0.019679205,4.0
-59.540176,0.19864702,-1.288097,3.0360336,0.0,-0.3396552,-0.48580688,-0.50543797,-0.45201468,-0.36465633,-0.26949972,-0.18211316,-0.11018878,-0.056046918,0.0,-1.1572804,0.33647856,0.547527,-0.34683055,-0.2044879,0.25286493,0.040512446,-0.1527892,0.021831581,0.0,-0.7235691,0.85358804,-0.6034717,0.23590648,0.05822945,-0.20024613,0.2037569,-0.12870288,0.038204532,0.0,-0.12897742,0.19147591,-0.21233493,0.20844929,-0.19104873,0.16738324,-0.14195359,0.117398605,-0.09512588,0.0,0.41061887,-0.5749291,0.57600677,-0.48588797,0.35910693,-0.2318489,0.12436773,-0.04484318,-0.006566422,5.0
